Geography,CalendarYear,Concentration_Group,Quarter_Group_Name,Systems_By_Max_Concentration,People_By_Max_Concentration,Systems_By_Mean_Concentration,People_By_Mean_Concentration,County_Code1
Luzerne,2014,PAWC CEASETOWN,PA2409002,0.27,mg/L,"64,072",79,
Luzerne,2014,AQUA PA FIELDCREST,PA2400012,0.1,mg/L,110,79,
Luzerne,2014,CAN DO CORPORATE CENTER,PA2401021,0.1,mg/L,930,79,
Luzerne,2014,AQUA PA HEX ACRES,PA2400053,0.1,mg/L,255,79,
Luzerne,2014,AQUA PA GREENBRIAR,PA2400147,0.1,mg/L,120,79,
Luzerne,2014,KEYSTONE JOB CORPS CENTER,PA2400023,3.03,mg/L,950,79,
Luzerne,2014,CHASE MANOR WATER ASSOC,PA2400017,0.69,mg/L,95,79,
Luzerne,2014,FRITZINGERTOWN SR LIV COMM #1,PA2400116,1.35,mg/L,66,79,
Luzerne,2014,MAPLE LANE ESTATES,PA2400055,0.1,mg/L,200,79,
Luzerne,2014,PAWC HILLCREST,PA2400070,0.05,mg/L,123,79,
Luzerne,2014,PAWC CRYSTAL LAKE,PA2409003,0.05,mg/L,"9,535",79,
Luzerne,2014,BUTLER VALLEY MANOR,PA2400117,0.71,mg/L,100,79,
Luzerne,2014,FREELAND BORO MUNI WATER AUTH,PA2400054,1.61,mg/L,"4,610",79,
Luzerne,2014,AQUA PA FOREST PARK,PA2400078,0.1,mg/L,420,79,
Luzerne,2014,ORCHARD WEST WATER ASSOC,PA2400113,2.44,mg/L,90,79,
Luzerne,2014,TOWER 80 81 LLC,PA2400008,0.5,mg/L,55,79,
Luzerne,2014,SISTERS OF MERCY,PA2400145,0.9,mg/L,140,79,
Luzerne,2014,AQUA PA WAPWALLOPEN,PA2400066,0.1,mg/L,239,79,
Luzerne,2014,COUNTRY CREST MHP,PA2400036,1.68,mg/L,150,79,
Luzerne,2014,AQUA PA SAND SPRINGS,PA2400140,0.1,mg/L,840,79,
Luzerne,2014,UNITED WATER PA HARVEYS LAKE,PA2400103,0.63,mg/L,200,79,
Luzerne,2014,AQUA PA RHODES TERRACE,PA2400101,0.1,mg/L,68,79,
Luzerne,2014,LAKESIDE HEALTH & REHAB CTR,PA2400027,2.27,mg/L,91,79,
Luzerne,2014,4 SEASONS ESTATES MHP,PA2400031,1.03,mg/L,98,79,
Luzerne,2014,UNITED WATER PA DALLAS,PA2400076,1.25,mg/L,"5,113",79,
Luzerne,2014,AQUA PA OAKHILL,PA2400095,1.5,mg/L,486,79,
Luzerne,2014,PAWC HOMESITE,PA2400072,2.38,mg/L,55,79,
Luzerne,2014,BONHAM NURSING CENTER,PA2400024,0.1,mg/L,166,79,
Luzerne,2014,COUNTRY VILLAGE MHP,PA2400041,0.28,mg/L,175,79,
Luzerne,2014,AQUA PA BARRETT,PA2400085,0.1,mg/L,107,79,
Luzerne,2014,AQUA PA WHITE HAVEN,PA2400108,1,mg/L,"1,200",79,
Luzerne,2014,AQUA PA SHICKSHINNY LAKE,PA2400029,0.1,mg/L,250,79,
Luzerne,2014,SWEET VALLEY MHP,PA2400060,0.56,mg/L,60,79,
Luzerne,2014,FRITZINGERTOWN SR LIV COMM #2,PA2400139,0.36,mg/L,118,79,
Luzerne,2014,PAWC HUNTSVILLE,PA2409013,0.2,mg/L,"10,800",79,
Luzerne,2014,WHIPPERWILL MHP,PA2400063,0.1,mg/L,25,79,
Luzerne,2014,AQUA PA MIDWAY SYSTEM,PA2400104,0.5,mg/L,"2,500",79,
Luzerne,2014,ORCHARD EAST WATER ASSOC,PA2400107,1.93,mg/L,85,79,
Luzerne,2014,LEHMAN HOME PARK,PA2400007,3.02,mg/L,63,79,
Luzerne,2014,AQUA PA YALICK FARMS,PA2400149,0.1,mg/L,178,79,
Luzerne,2014,SANDY RUN ASSOC,PA2400136,0.24,mg/L,47,79,
Luzerne,2014,AQUA PA WARDEN PLACE,PA2400102,0.1,mg/L,175,79,
Luzerne,2014,COUNTRY CLUB APTS,PA2400110,0.93,mg/L,240,79,
Luzerne,2014,WHITE HAVEN CENTER,PA2400109,1.37,mg/L,659,79,
Luzerne,2014,AQUA PA BEECH MOUNTAIN,PA2400114,0.1,mg/L,"2,311",79,
Luzerne,2014,EEI MEADOWS COMPLEX,PA2400115,1.25,mg/L,628,79,
Luzerne,2014,SCI DALLAS,PA2400090,0.1,mg/L,"2,488",79,
Luzerne,2014,COUNTRY ESTATES MHP,PA2400046,0.1,mg/L,25,79,
Luzerne,2014,MOORETOWN PROPERTIES LLC,PA2400049,0.58,mg/L,64,79,
Luzerne,2014,UNITED WATER PA SHAVERTOWN,PA2400091,0.1,mg/L,"3,035",79,
Luzerne,2014,HANSONS LANDING MHP,PA2400039,0.52,mg/L,86,79,
Lycoming,2014,COGAN VALLEY MOBILE HOME PARK,PA4410152,2.5,mg/L,250,81,
Lycoming,2014,LCWSA LIMESTONE WATER,PA4410180,0.2,mg/L,825,81,
Lycoming,2014,WILLIAMSPORT MUN WATER AUTH,PA4410173,0.13,mg/L,"51,000",81,
Lycoming,2014,VALI-VIEW MOBILE HOME PARK,PA4410169,1.78,mg/L,150,81,
Lycoming,2014,HARVEST MOON TRAILER COURT,PA4410030,0.25,mg/L,360,81,
Lycoming,2014,WATERVILLE WATER ASSOC,PA4410187,3.04,mg/L,90,81,
Lycoming,2014,LOYALSOCK MOBILE HOME PARK,PA4410025,5.54,mg/L,85,81,
Lycoming,2014,FOXCROFT MANOR MOBILE HOME PK,PA4410166,0.25,mg/L,200,81,
Lycoming,2014,TIMBEREND ESTATES MHP,PA4410034,0.25,mg/L,260,81,
Lycoming,2014,PINECREST VILLAGE MHP,PA4410019,0.68,mg/L,195,81,
Lycoming,2014,MUNCY BOROUGH WATER COMPANY,PA4410165,3.72,mg/L,"2,900",81,
Lycoming,2014,HUGHESVILLE BOROUGH WATER AUTH,PA4410178,1.26,mg/L,"2,400",81,
Lycoming,2014,RALSTON AREA JOINT AUTHORITY,PA4410171,0.1,mg/L,400,81,
Lycoming,2014,COLLOMSVILLE MUTUAL WATERWORKS,PA4410179,0.28,mg/L,250,81,
Lycoming,2014,MONTOURSVILLE WATER COMPANY,PA4410175,0.82,mg/L,"4,983",81,
Lycoming,2014,HIDDEN VALLEY MOBILE HOME CT,PA4410160,0.1,mg/L,60,81,
Lycoming,2014,CARPENTERS PARK INC,PA4410031,0.2,mg/L,85,81,
Lycoming,2014,CHADLEE MHP,PA4410020,1.08,mg/L,98,81,
Lycoming,2014,FAIRLAWN TRAILER COURT,PA4410007,4.8,mg/L,63,81,
Lycoming,2014,MONTGOMERY BORO WATR&SEWR AUTH,PA4410161,2.25,mg/L,"2,700",81,
Lycoming,2014,JERSEY SHORE AREA JNT WAT AUTH,PA4410156,1.57,mg/L,"7,200",81,
Lycoming,2014,TIADAGHTON VIEW MHP,PA4410164,3.3,mg/L,175,81,
Lycoming,2014,MEADOW BROOK M H P,PA4410154,0.25,mg/L,224,81,
Lycoming,2014,AMERICAN TEMPO VILLAGE PARK,PA4410002,0.05,mg/L,80,81,
Lycoming,2014,LCWSA VILLAGE WATER,PA4410174,2.6,mg/L,590,81,
Lycoming,2014,ORCHARD MOBILE HOME PARK,PA4410027,2.07,mg/L,325,81,
Lycoming,2014,ROARING BRANCH WATERWORKS,PA4410182,1.46,mg/L,90,81,
Lycoming,2014,A B C #2 MOBILE HOME PARK,PA4410010,4.14,mg/L,75,81,
Lycoming,2014,LCWSA HALLS STATION,PA4410035,1.95,mg/L,25,81,
Lycoming,2014,TWIN HILLS MOBILE HOME PARK,PA4410033,1.3,mg/L,225,81,
Lycoming,2014,MUNCY STATE CORRECTIONAL INST,PA4410176,1.92,mg/L,"1,390",81,
Lycoming,2014,HEATHERBROOKE ESTATES,PA4410005,2.13,mg/L,314,81,
Lycoming,2014,OAK LYNN MANOR MOBILE HOME PK,PA4410153,2.29,mg/L,250,81,
McKean,2014,REW WATER ASSOCIATION,PA6420013,0.05,mg/L,300,83,
McKean,2014,RIXFORD WATERWORKS ASSOCIATION,PA6420022,0.05,mg/L,234,83,
McKean,2014,LUDLOW WARNER SYSTEM,PA6420011,0.65,mg/L,76,83,
McKean,2014,PITHOLE WATER ASSOCIATION,PA6420031,0.05,mg/L,90,83,
McKean,2014,PORT ALLEGANY WATER DEPARTMENT,PA6420021,1.5,mg/L,"2,380",83,
McKean,2014,CLERMONT WATER ASSOCIATION,PA6420006,0.05,mg/L,75,83,
McKean,2014,CROSBY WATER ASSOCIATION,PA6420012,0.16,mg/L,56,83,
McKean,2014,LUDLOW COUNTY LINE SYSTEM,PA6420032,0.37,mg/L,81,83,
McKean,2014,SMETHPORT BOROUGH,PA6420023,1.16,mg/L,"2,064",83,
McKean,2014,PA AMERICAN WATER CO KANE,PA6420019,0.71,mg/L,"5,725",83,
McKean,2014,HAZEL HURST WATER COMPANY,PA6420017,1.13,mg/L,140,83,
McKean,2014,MT JEWETT WATER DEPARTMENT,PA6420018,0.32,mg/L,"1,500",83,
McKean,2014,ELDRED BOROUGH WATER AUTH,PA6420016,0.24,mg/L,850,83,
McKean,2014,AIKEN WATER COMPANY,PA6420010,0.05,mg/L,850,83,
McKean,2014,SOUTHSIDE NORTHSIDE WATER ASSN,PA6420028,0.81,mg/L,88,83,
McKean,2014,BRADFORD CITY WATER AUTHORITY,PA6420014,0.5,mg/L,"18,000",83,
Mercer,2014,SUNNYVIEW MOBILE HOME PARK,PA6430003,0.5,mg/L,110,85,
Mercer,2014,WILLOW BEND MHP,PA6430047,0.79,mg/L,33,85,
Mercer,2014,JAMESTOWN BORO WATER AUTH,PA6430043,0.1,mg/L,690,85,
Mercer,2014,GREYSTONE COUNTRY ESTATES,PA6430073,0.5,mg/L,40,85,
Mercer,2014,JEFFERSON ESTATES MHP,PA6430010,0.1,mg/L,60,85,
Mercer,2014,COUNTRY ESTATES,PA6430002,0.16,mg/L,90,85,
Mercer,2014,GREENVILLE MHP,PA6430039,0.1,mg/L,150,85,
Mercer,2014,REYNOLDS WATER COMPANY,PA6430057,0.7,mg/L,"2,370",85,
Mercer,2014,BUHL COMMUNITY WATER COMPANY,PA6430049,0.13,mg/L,"2,027",85,
Mercer,2014,FARMA MOBILE HOME PARK,PA6430070,0.28,mg/L,65,85,
Mercer,2014,GREENVILLE MUNI WATER AUTH,PA6430037,0.49,mg/L,"8,600",85,
Mercer,2014,AQUA PA LAKE LATONKA WTP,PA6430059,0.1,mg/L,955,85,
Mercer,2014,PENNWOOD ESTATES MHP,PA6430021,0.17,mg/L,80,85,
Mercer,2014,STONEBORO WATER WORKS,PA6430056,2.79,mg/L,"1,104",85,
Mercer,2014,GLEN LAKE ESTATES,PA6430014,0.5,mg/L,94,85,
Mercer,2014,FORREST BROOKE MHP,PA6430062,0.16,mg/L,425,85,
Mercer,2014,SCENIC MOBILE HOME PARK,PA6430001,0.5,mg/L,70,85,
Mercer,2014,SUMMIT ESTATES,PA6430074,0.16,mg/L,70,85,
Mercer,2014,LIBERTY ACRES MHP,PA6430041,0.1,mg/L,73,85,
Mercer,2014,COUNTRY CORNER RV PARK,PA6430063,2,mg/L,50,85,
Mercer,2014,GRANDVIEW ACRES MHP,PA6430042,0.12,mg/L,70,85,
Mercer,2014,HEMLOCK MHP,PA6430072,0.5,mg/L,45,85,
Mercer,2014,SANDY LAKE BORO,PA6430052,3.81,mg/L,"1,100",85,
Mercer,2014,AQUA PA SHENANGO VALLEY WTP,PA6430054,0.1,mg/L,"48,000",85,
Mercer,2014,ROUTE 322 MOBILE HOME PARK,PA6430019,0.11,mg/L,58,85,
Mercer,2014,GROVE CITY BORO WATER DEPT,PA6430040,0.1,mg/L,"8,322",85,
Mercer,2014,ST PAUL HOMES,PA6430024,0.5,mg/L,600,85,
Mercer,2014,LEESBURG WATER ASSOCIATION,PA6430999,2.17,mg/L,150,85,
Mercer,2014,PINE GROVE MOBILE HOME PARK,PA6430046,0.1,mg/L,225,85,
Mercer,2014,FREDONIA BORO,PA6430036,2.63,mg/L,502,85,
Mifflin,2014,ELSESSERS MHP,PA4440001,3.54,mg/L,75,87,
Mifflin,2014,LEWISTOWN BORO MUNI AUTH,PA4440010,0.25,mg/L,"26,765",87,
Mifflin,2014,FOREST HILLS APTS,PA4440016,0.1,mg/L,170,87,
Mifflin,2014,GRANVILLE TWP SUPERVISORS,PA4440018,0.25,mg/L,80,87,
Mifflin,2014,NORTH HILLS MHP,PA4440005,4.35,mg/L,170,87,
Mifflin,2014,MEADOWVIEW MANOR,PA4440019,2.99,mg/L,47,87,
Mifflin,2014,HILLSIDE TERRACE COMMUNITY,PA4440299,0.22,mg/L,70,87,
Mifflin,2014,ALLENSVILLE MUNI AUTH,PA4440008,0.25,mg/L,305,87,
Monroe,2014,GILBERT MOBILE HOME PARK,PA2450027,0.83,mg/L,150,89,
Monroe,2014,GETZ PERSONAL CARE HOME,PA2450079,4.78,mg/L,95,89,
Monroe,2014,BARTON COURT,PA2450005,1.43,mg/L,118,89,
Monroe,2014,AQUA PA HAMILTON WATER CO,PA2450044,0.65,mg/L,"1,500",89,
Monroe,2014,GLUCO LODGE,PA2450088,2.79,mg/L,65,89,
Monroe,2014,SULLIVAN TRAIL VILLAGE,PA2450136,1.09,mg/L,45,89,
Monroe,2014,POCONO MANOR INN,PA2450064,0.55,mg/L,300,89,
Monroe,2014,AQUA PA MOUNTAINHOME SYSTEM,PA2450039,0.1,mg/L,"1,450",89,
Monroe,2014,MUSHROOM FARM,PA2450068,1.94,mg/L,172,89,
Monroe,2014,FAWN VALLEY NORTH,PA2450114,0.1,mg/L,50,89,
Monroe,2014,MAPLE ROCK TRAILER COURT,PA2450006,0.68,mg/L,50,89,
Monroe,2014,SCIOTA GARDENS,PA2450143,0.1,mg/L,32,89,
Monroe,2014,BLUE MTN LAKE UTILITY ASSOC,PA2450133,0.04,mg/L,"2,014",89,
Monroe,2014,ROBIN HOOD LAKES WATER CO 1,PA2450093,0.27,mg/L,492,89,
Monroe,2014,MT AIRY CASINO & RESORT,PA2450677,0.64,mg/L,"7,000",89,
Monroe,2014,HILLSIDE MOBILE HOME PARK,PA2450076,0.1,mg/L,84,89,
Monroe,2014,HILLCREST RETIREMENT COMMUNITY,PA2450096,1.74,mg/L,71,89,
Monroe,2014,BRODHEAD CREEK REG WATER AUTH,PA2450034,0.24,mg/L,"22,500",89,
Monroe,2014,MOUNTAIN VIEW VILLAGE,PA2450083,0.46,mg/L,100,89,
Monroe,2014,OAKS SENIOR COMMUNITY,PA2450142,0.1,mg/L,84,89,
Monroe,2014,WESLEY ENHANCED LIVING,PA2450981,0.1,mg/L,41,89,
Monroe,2014,BROOKMONT HEALTH CARE CENTER,PA2450002,0.29,mg/L,229,89,
Monroe,2014,VICTORIA VILLAGE TOWNHOUSE,PA2450117,0.1,mg/L,99,89,
Monroe,2014,BUCK HILL FALLS WATER CO,PA2450020,0.37,mg/L,245,89,
Monroe,2014,LYNWOOD ACRES MOBILE HOME PARK,PA2450084,0.17,mg/L,77,89,
Monroe,2014,SUN VALLEY WATER CO,PA2450054,1.14,mg/L,120,89,
Monroe,2014,BIRCHWOOD TRAILER PARK,PA2450008,3.09,mg/L,96,89,
Monroe,2014,POCO APARTMENTS (LOWER),PA2450106,0.3,mg/L,48,89,
Monroe,2014,PLEASANT VIEW LAKES POA,PA2450070,1.1,mg/L,389,89,
Monroe,2014,TRI VALLEY ELDO LAKE DIVISION,PA2450080,0.1,mg/L,310,89,
Monroe,2014,LOPCA WATER CORP,PA2450015,0.82,mg/L,"1,200",89,
Monroe,2014,POCONO/JACKSON WATER AUTHORITY,PA2450122,0.1,mg/L,"2,100",89,
Monroe,2014,DELAWARE WATER GAP BORO,PA2450022,0.5,mg/L,850,89,
Monroe,2014,MANWALAMINK WATER CO  NS 3,PA2450113,0.1,mg/L,"1,100",89,
Monroe,2014,TIMBER MOUNTAIN ESTATES,PA2450104,0.49,mg/L,60,89,
Monroe,2014,R OWN LAKE INC,PA2450010,0.5,mg/L,30,89,
Monroe,2014,WHITE ROCK MOBILE HOME PARK,PA2450038,1.9,mg/L,50,89,
Monroe,2014,OAK RUN VILLAGE,PA2450123,0.1,mg/L,70,89,
Monroe,2014,NORTHRIDGE AT CAMELBACK,PA2450124,0.21,mg/L,330,89,
Monroe,2014,SMITHFIELD COURT,PA2450004,1.27,mg/L,50,89,
Monroe,2014,FOX GLEN GARDENS,PA2450092,0.1,mg/L,95,89,
Monroe,2014,AQUA PA WILD PINES WATER SYS,PA2450141,0.1,mg/L,440,89,
Monroe,2014,MANWALAMINK WATER CO   NS 1&2,PA2450099,0.14,mg/L,600,89,
Monroe,2014,ESTATES AT STONE ROW,PA2450138,0.39,mg/L,60,89,
Monroe,2014,ROBINWOOD VILLAGE,PA2450140,1.67,mg/L,70,89,
Monroe,2014,VILLAGE AT CAMELBACK,PA2450056,1.54,mg/L,309,89,
Monroe,2014,PAWC MID MONROE,PA2450119,0.23,mg/L,"1,780",89,
Monroe,2014,GREEN MOUNTAIN ESTATES,PA2450087,1.45,mg/L,108,89,
Monroe,2014,TOBYHANNA ARMY DEPOT,PA2450053,1.5,mg/L,"3,200",89,
Monroe,2014,AQUA PENNSYLVANIA PINECREST,PA2450086,0.1,mg/L,500,89,
Monroe,2014,EDGEWOOD AT COUNTRYSIDE APTS,PA2450089,2.55,mg/L,56,89,
Monroe,2014,ROCKY RIDGE MOBILE HOME PARK,PA2450129,1.02,mg/L,171,89,
Monroe,2014,TWIN FALLS MHP,PA2450025,1.52,mg/L,40,89,
Monroe,2014,PENN ESTATES UTILITIES INCORP,PA2450065,0.32,mg/L,"4,300",89,
Monroe,2014,SKYTOP LODGE INC,PA2450040,0.77,mg/L,300,89,
Monroe,2014,THE MANWALAMINK WATER COMPANY,PA2450049,0.43,mg/L,"3,200",89,
Monroe,2014,TOWN HOMES AT MAPLE LANE,PA2450098,0.1,mg/L,60,89,
Monroe,2014,FAWN VALLEY SOUTH,PA2450009,0.1,mg/L,50,89,
Monroe,2014,BLUE MTN VILLAGE ON CHICOLA LK,PA2450033,0.5,mg/L,60,89,
Monroe,2014,E STROUDSBURG BORO WATER DEPT,PA2450023,0.48,mg/L,"12,500",89,
Monroe,2014,PAWC POCONO DISTRICT,PA2450063,1.23,mg/L,"19,875",89,
Monroe,2014,POCONO PLATEAU PARK WELL 1,PA2450097,0.1,mg/L,60,89,
Monroe,2014,POCONO MOBILE HOME ESTATES,PA2450028,0.14,mg/L,129,89,
Monroe,2014,POCO APARTMENTS (UPPER),PA2450107,0.34,mg/L,36,89,
Monroe,2014,MONROE COUNTY CORRECTIONAL FAC,PA2450105,0.1,mg/L,740,89,
Monroe,2014,MRS BUSHS PERSONAL CARE HOME,PA2450111,0.1,mg/L,70,89,
Monroe,2014,MOUNTAIN TOP ESTATES,PA2450045,0.99,mg/L,237,89,
Monroe,2014,DEER RUN MOBILE HOME PARK,PA2450018,0.1,mg/L,54,89,
Montgomery,2014,AQUA PA PERKIOMEN WOODS,PA1460068,3.4,mg/L,"1,249",91,
Montgomery,2014,PERKIOMEN CROSSING,PA1460087,0.5,mg/L,508,91,
Montgomery,2014,HORSHAM WATER&SEWER AUTHORITY,PA1460033,1.77,mg/L,"25,000",91,
Montgomery,2014,S C I GRATERFORD,PA1460059,2.95,mg/L,"3,000",91,
Montgomery,2014,NORTH WALES WATER AUTHORITY,PA1460048,1.84,mg/L,"72,496",91,
Montgomery,2014,PLEASANT RUN MHP,PA1460006,1.57,mg/L,45,91,
Montgomery,2014,WOODED RIDGE DEVELOPMENT,PA1460025,1.24,mg/L,53,91,
Montgomery,2014,SUPERIOR WATER COMPANY MAIN,PA1460085,1.37,mg/L,"7,500",91,
Montgomery,2014,SCHWENKSVILLE BOROUGH AUTH,PA1460042,0.91,mg/L,"5,200",91,
Montgomery,2014,EAST GREENVILLE BORO WATER DEP,PA1460023,2.27,mg/L,"3,100",91,
Montgomery,2014,COLLEGEVILLE TRAPPE JOINT PWD,PA1460022,3.42,mg/L,"8,470",91,
Montgomery,2014,PARKHOUSE,PA1460008,5.25,mg/L,"1,200",91,
Montgomery,2014,RED HILL WATER AUTHORITY,PA1460039,3.24,mg/L,"2,500",91,
Montgomery,2014,ST GABRIELS HALL,PA1460056,4.66,mg/L,400,91,
Montgomery,2014,SUPERIOR WATER COMPANY CPF,PA1460092,1.8,mg/L,500,91,
Montgomery,2014,AQUA PA PERKIOMEN TOWNSHIP,PA1460069,2,mg/L,"4,100",91,
Montgomery,2014,SPRUCE COURT APARTMENTS,PA1460071,4.12,mg/L,100,91,
Montgomery,2014,TELFORD BOROUGH AUTHORITY,PA1460050,2.14,mg/L,"7,700",91,
Montgomery,2014,SAINT LUKE KNOLLS,PA1460086,2.92,mg/L,50,91,
Montgomery,2014,SHANERS MOBILE HOME PARK,PA1460038,1.81,mg/L,220,91,
Montgomery,2014,AQUA PA MAIN SYSTEM,PA1460073,2.62,mg/L,"784,939",91,
Montgomery,2014,PA AMERICAN NORRISTOWN,PA1460046,2.51,mg/L,"96,376",91,
Montgomery,2014,UPPER HANOVER WATER AUTHORITY,PA1460036,3.16,mg/L,"4,600",91,
Montgomery,2014,NEW LIFE YOUTH&FAMILY SERVICES,PA1461079,2.93,mg/L,57,91,
Montgomery,2014,GREEN HILL MHP,PA1460027,0.25,mg/L,323,91,
Montgomery,2014,NORTH PENN WATER AUTHORITY,PA1460034,2.05,mg/L,"82,822",91,
Montgomery,2014,AVANTE APARTMENTS,PA1460062,0.25,mg/L,300,91,
Montgomery,2014,COLLEGEVILLE PARK WATER ASSOC,PA1460070,2.06,mg/L,75,91,
Montgomery,2014,POTTSTOWN BOROUGH WATER AUTH,PA1460037,2.8,mg/L,"36,000",91,
Montgomery,2014,AQUA PA HATBORO,PA1460028,2.92,mg/L,"18,900",91,
Montgomery,2014,AMBLER BORO WATER DEPT,PA1460020,1.92,mg/L,"20,000",91,
Montgomery,2014,WINDHAVEN MHP,PA1460005,2.44,mg/L,112,91,
Montgomery,2014,YERKES WATER ASSOCIATION,PA1460064,2.76,mg/L,108,91,
Montgomery,2014,AWC VALLEY FORGE CROSSING MHP,PA1460035,3.17,mg/L,250,91,
Montgomery,2014,AUDUBON WATER COMPANY,PA1460055,1.54,mg/L,"9,850",91,
Montgomery,2014,FREDERICK MENNONITE COMMUNITY,PA1460075,1.06,mg/L,"1,000",91,
Montgomery,2014,OAK GROVE PARK MHP,PA1460030,0.67,mg/L,130,91,
Montgomery,2014,SUPERIOR WATER CO IVY RIDGE,PA1460007,0.8,mg/L,150,91,
Montour,2014,DANVILLE MUNICIPAL WATER AUTH,PA4470007,0.1,mg/L,"4,897",93,
Montour,2014,BLUE SPRINGS TERRACE,PA4470008,0.32,mg/L,250,93,
Northampton,2014,MEADOWBROOK MOBILE HOMES,PA3480008,2,mg/L,40,95,
Northampton,2014,DEL-AIRE MOBILE HOME PARK,PA3480007,1.2,mg/L,33,95,
Northampton,2014,TUSCARORA VILLAGE,PA3480082,3.18,mg/L,225,95,
Northampton,2014,DRIFTWOOD COURT,PA3480011,6.64,mg/L,49,95,
Northampton,2014,GREEN ACRES MOBILE HOME PARK,PA3480006,4.1,mg/L,48,95,
Northampton,2014,RIVERSEDGE,PA3480035,5.02,mg/L,75,95,
Northampton,2014,WALNUTPORT AUTHORITY,PA3480032,2.43,mg/L,"3,000",95,
Northampton,2014,ALAN MOBILE HOME PARK,PA3480013,0.1,mg/L,60,95,
Northampton,2014,LEHIGH TWP MUNI AUTH,PA3480080,4.63,mg/L,260,95,
Northampton,2014,PAW BANGOR DISTRICT,PA3480038,0.04,mg/L,"9,300",95,
Northampton,2014,WHISPERING HOLLOW NORTH MHP,PA3480058,0.1,mg/L,240,95,
Northampton,2014,CEDAR GROVE MOBILE HOME PARK,PA3480037,7.2,mg/L,65,95,
Northampton,2014,BETH SHADY LANE SYSTEM,PA3480022,0.1,mg/L,61,95,
Northampton,2014,MILLERS EDGEWOOD MHP,PA3480039,0.1,mg/L,78,95,
Northampton,2014,PORTLAND BORO AUTHORITY,PA3480059,0.5,mg/L,"1,100",95,
Northampton,2014,KELLOWS MOBILE HOME PARK,PA3480041,6.09,mg/L,30,95,
Northampton,2014,LCA CLEARVIEW FARM ESTATES DIV,PA3480028,2,mg/L,170,95,
Northampton,2014,CROSSROADS MHP,PA3480043,4.69,mg/L,30,95,
Northampton,2014,EASTON AREA WATER SYSTEM,PA3480050,0.5,mg/L,"85,163",95,
Northampton,2014,AQUA PA WHITEHAVEN EVANWOOD,PA3480029,1.1,mg/L,60,95,
Northampton,2014,BETH COUNTRY SQUIRE ESTATES,PA3480056,0.1,mg/L,87,95,
Northampton,2014,HICKORY HILLS MHC,PA3480015,0.1,mg/L,800,95,
Northampton,2014,BETH EAST ALLEN GDNS,PA3480021,0.1,mg/L,192,95,
Northampton,2014,PAW BERRY HOLLOW,PA3480053,0.04,mg/L,90,95,
Northampton,2014,HILLENDALE-ON-THE-DELAWARE,PA3480026,6.97,mg/L,150,95,
Northampton,2014,NORTHAMPTON BORO MUNI AUTH,PA3480057,1.3,mg/L,"40,000",95,
Northampton,2014,EVERGREEN VILLAGE MHP,PA3480076,3.14,mg/L,316,95,
Northampton,2014,GAP VIEW COMMUNITY MHP,PA3480054,7.09,mg/L,50,95,
Northampton,2014,WALNUTPORT MOBILE COURT,PA3480063,6.62,mg/L,150,95,
Northampton,2014,MILLER MANOR HOMEOWNERS ASSOC,PA3480023,7.76,mg/L,90,95,
Northampton,2014,HERITAGE VILLAGE MHP,PA3480089,0.1,mg/L,400,95,
Northampton,2014,AQUA PA WH CHRISTIAN SPRINGS,PA3480030,2.2,mg/L,153,95,
Northampton,2014,HELLERTOWN BOROUGH AUTHORITY,PA3480052,2.29,mg/L,"5,800",95,
Northampton,2014,CITY OF BETHLEHEM,PA3480046,0.1,mg/L,"115,686",95,
Northampton,2014,BETH WIL MAR MANOR,PA3480079,0.1,mg/L,90,95,
Northampton,2014,SCHWEPS MOBILE HOME PARK,PA3480012,4,mg/L,90,95,
Northampton,2014,MOUNTAINVIEW MHP,PA3480075,2,mg/L,335,95,
Northampton,2014,ROYAL OAKS MHP,PA3480044,0.41,mg/L,85,95,
Northampton,2014,WHISPERING HOLLOW-SOUTH MHP,PA3480045,2.44,mg/L,400,95,
Northampton,2014,E BANGOR MUN AUTHORITY,PA3480049,0.5,mg/L,"1,200",95,
Northampton,2014,GAP VIEW MOBILE HOME PARK,PA3480072,0.1,mg/L,72,95,
Northampton,2014,SCOTTYS MANUFACTURED HOMES,PA3480040,0.96,mg/L,65,95,
Northampton,2014,PAW BLUE MOUNTAIN DIVISION,PA3480055,0.31,mg/L,"23,613",95,
Northampton,2014,BATH MUNICIPAL WATER WORKS,PA3480066,2.25,mg/L,"2,800",95,
Northumberland,2014,MCEWENSVILLE MUNICIPAL AUTH,PA4490298,3.23,mg/L,282,97,
Northumberland,2014,MUNICIPAL AUTHORITY SUNBURY,PA4490007,0.1,mg/L,"11,043",97,
Northumberland,2014,LOWER MAHANOY TWP MUN AUTH,PA4490018,0.1,mg/L,450,97,
Northumberland,2014,EAST CAMERON TWP MUN AUTH,PA4490011,0.85,mg/L,200,97,
Northumberland,2014,AQUA PA ROARING CREEK DIVISION,PA4490024,0.1,mg/L,"43,000",97,
Northumberland,2014,THE MEADOWS AT WATSONTOWN LLC,PA4490025,0.1,mg/L,345,97,
Northumberland,2014,D AND H TRAILER PARK,PA4490021,2.06,mg/L,50,97,
Northumberland,2014,TURBOTVILLE MUN WATER,PA4490016,4.97,mg/L,625,97,
Northumberland,2014,HERNDON BORO JACKSON TWP JMA,PA4490020,3.7,mg/L,432,97,
Northumberland,2014,BUCKNELL VIEW MHP,PA4490004,3.88,mg/L,100,97,
